user_id,created_at,company_id,language,activated_at,state,"(user_id, created_at, company_id, language, activated_at, state)"
0,01/01/13 20:59,5737,english,01/01/13 21:01,active,"('0','41275.8743055556','5737','english','41275.8756944444','active'),"
3,01/01/13 18:40,2800,german,01/01/13 18:42,active,"('3','41275.7777777778','2800','german','41275.7791666667','active'),"
4,01/01/13 14:37,5110,indian,01/01/13 14:39,active,"('4','41275.6090277778','5110','indian','41275.6104166667','active'),"
6,01/01/13 18:37,11699,english,01/01/13 18:38,active,"('6','41275.7756944444','11699','english','41275.7763888889','active'),"
7,01/01/13 16:19,4765,french,01/01/13 16:20,active,"('7','41275.6798611111','4765','french','41275.6805555556','active'),"
8,01/01/13 4:38,2698,french,01/01/13 4:40,active,"('8','41275.1930555556','2698','french','41275.1944444444','active'),"
11,01/01/13 8:07,3745,english,01/01/13 8:09,active,"('11','41275.3381944444','3745','english','41275.3395833333','active'),"
13,02/01/13 12:27,4025,english,02/01/13 12:29,active,"('13','41276.51875','4025','english','41276.5201388889','active'),"
15,02/01/13 15:39,4259,english,02/01/13 15:41,active,"('15','41276.6520833333','4259','english','41276.6534722222','active'),"
17,02/01/13 10:56,5025,japanese,02/01/13 10:57,active,"('17','41276.4555555556','5025','japanese','41276.45625','active'),"
19,02/01/13 9:54,326,english,02/01/13 9:55,active,"('19','41276.4125','326','english','41276.4131944444','active'),"
20,02/01/13 9:41,7,italian,02/01/13 9:43,active,"('20','41276.4034722222','7','italian','41276.4048611111','active'),"
21,02/01/13 9:29,2606,english,02/01/13 9:30,active,"('21','41276.3951388889','2606','english','41276.3958333333','active'),"
22,02/01/13 17:36,545,german,02/01/13 17:38,active,"('22','41276.7333333333','545','german','41276.7347222222','active'),"
27,03/01/13 16:14,6,japanese,03/01/13 16:15,active,"('27','41277.6763888889','6','japanese','41277.6770833333','active'),"
30,03/01/13 8:28,4148,english,03/01/13 8:29,active,"('30','41277.3527777778','4148','english','41277.3534722222','active'),"
31,03/01/13 15:45,39,arabic,03/01/13 15:46,active,"('31','41277.65625','39','arabic','41277.6569444444','active'),"
33,03/01/13 12:16,10768,english,03/01/13 12:18,active,"('33','41277.5111111111','10768','english','41277.5125','active'),"
35,03/01/13 16:06,1891,english,03/01/13 16:07,active,"('35','41277.6708333333','1891','english','41277.6715277778','active'),"
36,03/01/13 11:51,2,english,03/01/13 11:53,active,"('36','41277.49375','2','english','41277.4951388889','active'),"
47,04/01/13 10:39,1,indian,04/01/13 10:41,active,"('47','41278.44375','1','indian','41278.4451388889','active'),"
49,05/01/13 14:33,8727,spanish,05/01/13 14:34,active,"('49','41279.60625','8727','spanish','41279.6069444444','active'),"
50,05/01/13 17:41,12526,spanish,05/01/13 17:43,active,"('50','41279.7368055556','12526','spanish','41279.7381944444','active'),"
52,06/01/13 13:35,6,english,06/01/13 13:37,active,"('52','41280.5659722222','6','english','41280.5673611111','active'),"
54,06/01/13 2:52,2,english,06/01/13 2:54,active,"('54','41280.1194444444','2','english','41280.1208333333','active'),"
55,06/01/13 14:35,2233,german,06/01/13 14:37,active,"('55','41280.6076388889','2233','german','41280.6090277778','active'),"
59,07/01/13 20:47,2296,chinese,07/01/13 20:49,active,"('59','41281.8659722222','2296','chinese','41281.8673611111','active'),"
64,07/01/13 9:56,9229,english,07/01/13 9:57,active,"('64','41281.4138888889','9229','english','41281.4145833333','active'),"
66,07/01/13 15:37,7927,french,07/01/13 15:39,active,"('66','41281.6506944444','7927','french','41281.6520833333','active'),"
67,07/01/13 13:46,10818,english,07/01/13 13:47,active,"('67','41281.5736111111','10818','english','41281.5743055556','active'),"
78,08/01/13 12:58,1,english,08/01/13 13:00,active,"('78','41282.5402777778','1','english','41282.5416666667','active'),"
80,08/01/13 6:19,925,spanish,08/01/13 6:20,active,"('80','41282.2631944444','925','spanish','41282.2638888889','active'),"
83,09/01/13 16:40,2343,english,09/01/13 16:42,active,"('83','41283.6944444444','2343','english','41283.6958333333','active'),"
84,09/01/13 17:14,9501,english,09/01/13 17:16,active,"('84','41283.7180555556','9501','english','41283.7194444444','active'),"
86,09/01/13 13:24,1,indian,09/01/13 13:25,active,"('86','41283.5583333333','1','indian','41283.5590277778','active'),"
87,09/01/13 9:54,95,english,09/01/13 9:56,active,"('87','41283.4125','95','english','41283.4138888889','active'),"
90,09/01/13 12:27,789,english,09/01/13 12:29,active,"('90','41283.51875','789','english','41283.5201388889','active'),"
92,09/01/13 10:45,1,english,09/01/13 10:46,active,"('92','41283.4479166667','1','english','41283.4486111111','active'),"
97,10/01/13 12:32,7578,french,10/01/13 12:33,active,"('97','41284.5222222222','7578','french','41284.5229166667','active'),"
98,10/01/13 10:23,9136,portugese,10/01/13 10:25,active,"('98','41284.4326388889','9136','portugese','41284.4340277778','active'),"
99,10/01/13 11:00,7,english,10/01/13 11:02,active,"('99','41284.4583333333','7','english','41284.4597222222','active'),"
101,10/01/13 13:05,5343,french,10/01/13 13:07,active,"('101','41284.5451388889','5343','french','41284.5465277778','active'),"
103,10/01/13 13:05,44,portugese,10/01/13 13:06,active,"('103','41284.5451388889','44','portugese','41284.5458333333','active'),"
104,10/01/13 17:23,4936,english,10/01/13 17:25,active,"('104','41284.7243055556','4936','english','41284.7256944444','active'),"
105,11/01/13 13:25,12000,english,11/01/13 13:26,active,"('105','41285.5590277778','12000','english','41285.5597222222','active'),"
106,11/01/13 23:23,12473,italian,11/01/13 23:25,active,"('106','41285.9743055556','12473','italian','41285.9756944444','active'),"
107,11/01/13 12:28,12411,english,11/01/13 12:30,active,"('107','41285.5194444444','12411','english','41285.5208333333','active'),"
108,11/01/13 16:36,8,japanese,11/01/13 16:37,active,"('108','41285.6916666667','8','japanese','41285.6923611111','active'),"
111,11/01/13 16:17,2,arabic,11/01/13 16:18,active,"('111','41285.6784722222','2','arabic','41285.6791666667','active'),"
113,11/01/13 10:52,457,german,11/01/13 10:54,active,"('113','41285.4527777778','457','german','41285.4541666667','active'),"
117,12/01/13 16:17,8636,japanese,12/01/13 16:19,active,"('117','41286.6784722222','8636','japanese','41286.6798611111','active'),"
118,12/01/13 15:29,1,english,12/01/13 15:31,active,"('118','41286.6451388889','1','english','41286.6465277778','active'),"
119,12/01/13 15:47,5,english,12/01/13 15:48,active,"('119','41286.6576388889','5','english','41286.6583333333','active'),"
120,13/01/13 16:00,376,japanese,13/01/13 16:02,active,"('120','41287.6666666667','376','japanese','41287.6680555556','active'),"
